365nm,405nm,473nm,530nm,575nm,621nm,660nm,735nm,770nm,830nm,850nm,890nm,940nm,label
12.88,25.79,72.39,52.34,0.48,24.74,7.52,109.91,19.68,66.68,92.82,9.2,23.46,0
12.97,27.72,74.84,54.01,0.5,24.81,6.9,115.34,20.94,72.93,95.11,8.51,23.87,0
14.07,29.58,79.41,58.31,0.42,27.47,8.4,119.7,22.82,75.06,97.65,9.86,25.06,0
14.23,28.9,78.56,57.67,0.63,27.74,7.75,120.32,21.45,75.21,100.25,9.74,25.59,0
13.76,28.82,80.33,59.0,0.39,28.42,8.46,121.43,22.38,75.06,100.29,10.43,25.58,0
13.26,27.86,77.27,56.26,0.33,26.7,7.77,115.54,21.3,71.84,97.32,10.76,24.6,0
13.11,27.52,77.31,56.26,0.57,27.31,8.06,118.76,21.41,72.51,98.49,10.45,25.4,0
13.39,28.04,77.63,56.3,0.49,26.61,8.16,116.36,21.06,72.8,96.25,10.08,24.86,0
12.3,27.07,75.09,54.77,0.63,26.11,7.51,116.05,20.19,71.2,96.95,10.08,25.0,0
12.03,27.34,74.18,53.63,0.39,25.7,6.98,110.48,19.65,69.46,93.3,9.66,23.29,0
12.32,25.38,70.51,51.22,0.69,23.88,6.5,105.99,18.31,65.76,90.86,9.28,23.51,0
12.8,28.5,76.87,56.43,0.42,25.53,7.53,114.09,20.1,71.09,96.86,10.26,23.54,0
14.21,30.21,79.59,58.23,0.54,27.4,8.3,118.25,21.71,71.91,97.41,10.92,23.87,0
13.91,29.98,79.43,58.02,0.39,26.54,8.67,117.4,21.35,72.23,97.12,11.22,24.58,0
14.24,29.74,79.0,58.67,0.38,26.33,8.02,117.99,20.55,71.78,97.58,11.65,24.28,0
15.06,30.66,81.22,60.19,0.49,27.82,8.73,121.54,21.27,72.09,98.32,11.98,24.84,0
14.64,30.81,83.8,61.82,0.45,28.29,8.67,125.07,22.49,73.67,99.79,11.64,24.8,0
14.09,29.38,79.29,57.84,0.53,27.41,8.13,120.39,20.92,71.47,96.58,11.73,24.13,0
14.86,30.59,82.43,59.45,0.55,28.85,8.89,121.58,21.01,71.14,99.27,11.22,25.46,0
15.0,30.73,84.74,61.1,0.45,28.53,8.94,123.09,21.64,73.02,99.97,11.05,25.68,0
16.53,34.72,90.57,67.71,0.46,33.19,10.18,128.55,22.77,74.65,103.51,12.14,26.39,0
13.82,29.21,79.68,60.07,0.64,28.06,8.09,119.68,21.1,72.84,97.77,9.25,23.65,0
14.11,30.25,79.98,59.3,0.52,28.24,8.64,119.95,20.99,73.21,97.57,10.24,24.66,0
15.09,29.87,80.75,60.22,0.49,28.72,9.76,120.79,21.27,73.29,97.74,10.73,24.75,0
14.05,29.27,77.85,57.93,0.72,27.08,8.93,118.11,20.37,71.77,97.77,11.64,24.56,0
13.71,28.67,78.62,57.85,0.26,27.11,8.66,120.65,20.35,71.99,97.61,11.02,24.28,0
15.1,31.71,85.29,64.39,0.53,30.61,9.37,127.44,21.78,74.75,101.02,11.84,25.96,0
13.98,29.13,81.21,59.31,0.42,28.7,8.65,121.86,20.54,71.77,98.89,11.89,24.95,0
14.09,29.17,79.15,57.55,0.47,26.79,8.52,117.82,19.6,70.45,96.57,11.49,24.67,0
15.39,31.7,85.73,62.69,0.47,30.03,9.51,123.71,21.41,73.59,100.57,11.64,25.72,0
13.93,30.46,83.3,60.84,0.53,28.59,9.05,121.5,20.79,72.9,101.02,11.11,25.62,0
13.59,28.54,77.86,56.56,0.32,26.54,7.92,119.59,20.43,72.11,96.02,10.11,23.72,0
